File accession	Experiment accession	Biological replicate(s)	Paired with	md5sum	File download URL	Controlled by
ENCFF021XDU	ENCSR638QHV	1		68eb9858b3be232d663e34379f589e93	https://www.encodeproject.org/files/ENCFF021XDU/@@download/ENCFF021XDU.bigBed	
ENCFF191SVO	ENCSR638QHV	"1, 2"		c46e078ee1cef760afa5a7af0748a8d7	https://www.encodeproject.org/files/ENCFF191SVO/@@download/ENCFF191SVO.bigBed	
ENCFF136UPB	ENCSR638QHV	"1, 2"		1212b8461e51602ead61133dc7f34de9	https://www.encodeproject.org/files/ENCFF136UPB/@@download/ENCFF136UPB.bed.gz	
ENCFF625YZE	ENCSR638QHV	"1, 2"		b9c9bf33f2b9a8e7ae9499f32d38b46f	https://www.encodeproject.org/files/ENCFF625YZE/@@download/ENCFF625YZE.bigBed	
ENCFF539SXG	ENCSR638QHV	"1, 2"		40f72df28c276c4dbe859b809f985ff0	https://www.encodeproject.org/files/ENCFF539SXG/@@download/ENCFF539SXG.bed.gz	
ENCFF377OIN	ENCSR638QHV	"1, 2"		ea8f5b90edd21a176571c54aa6b9f233	https://www.encodeproject.org/files/ENCFF377OIN/@@download/ENCFF377OIN.bigBed	
ENCFF976WHF	ENCSR638QHV	"1, 2"		af07b6f51bfe9fd037e268547e59f97d	https://www.encodeproject.org/files/ENCFF976WHF/@@download/ENCFF976WHF.bed.gz	
ENCFF315KJE	ENCSR638QHV	"1, 2"		3d804e776aefeee6be281194e5bacdb6	https://www.encodeproject.org/files/ENCFF315KJE/@@download/ENCFF315KJE.bigBed	
ENCFF502KHR	ENCSR638QHV	"1, 2"		c2e187f6d861df3100e2acf5d12e3e45	https://www.encodeproject.org/files/ENCFF502KHR/@@download/ENCFF502KHR.bed.gz	
ENCFF705PUY	ENCSR638QHV	"1, 2"		d082b74162382443119b06c8aaca02eb	https://www.encodeproject.org/files/ENCFF705PUY/@@download/ENCFF705PUY.bigBed	
